image_path,raw_class,clean_class,file_extension,image_mode,width,height,md5,leaf_id
data\raw\apple\Apple___healthy\0055dd26-23a7-4415-ac61-e0b44ebfaf80___RS_HL 5672.JPG,Apple___healthy,Healthy,.jpg,RGB,256,256,ef0d896f30c9a545f15df11a4cb59718,Soybean___healthy:::342
data\raw\apple\Apple___healthy\00907d8b-6ae6-4306-bfd7-d54471981a86___RS_HL 5709.JPG,Apple___healthy,Healthy,.jpg,RGB,256,256,18022f67406b6c5f8d8bddc712070053,Soybean___healthy:::346
data\raw\apple\Apple___healthy\0098dbd9-286a-4d6a-bf4b-5459d66f88c0___RS_HL 5776.JPG,Apple___healthy,Healthy,.jpg,RGB,256,256,a866a6e6688b14d5b0b7d778cc2b39ac,Soybean___healthy:::360
data\raw\apple\Apple___healthy\00a6039c-e425-4f7d-81b1-d6b0e668517e___RS_HL 7669.JPG,Apple___healthy,Healthy,.jpg,RGB,256,256,fe7a3397d602dffb1cd67921d093e0cb,Apple___healthy:::186
data\raw\apple\Apple___healthy\00fca0da-2db3-481b-b98a-9b67bb7b105c___RS_HL 7708.JPG,Apple___healthy,Healthy,.jpg,RGB,256,256,f77ff65daba07c7cf60124491c66fd7d,Apple___healthy:::191
data\raw\apple\Apple___healthy\010125c0-e6f2-4f3d-b469-dd98ffecbb01___RS_HL 7948.JPG,Apple___healthy,Healthy,.jpg,RGB,256,256,3b9e532b08e068d635f0331b0745dad9,Apple___healthy:::223
data\raw\apple\Apple___healthy\011d02f3-5c3c-4484-a384-b1a0a0dbdec1___RS_HL 7544.JPG,Apple___healthy,Healthy,.jpg,RGB,256,256,ff8f2590df3abca75eecbad77b07c006,Soybean___healthy:::509
data\raw\apple\Apple___healthy\013b7c70-5e3b-42b7-86af-167815a5b04f___RS_HL 7480.JPG,Apple___healthy,Healthy,.jpg,RGB,256,256,e5cb4d2f705fbe6bd663145c6adaedcf,Soybean___healthy:::503
data\raw\apple\Apple___healthy\017fd21b-142f-4988-849a-5fd316ea9a1b___RS_HL 6279.JPG,Apple___healthy,Healthy,.jpg,RGB,256,256,4b479a51cc2a4268f4c59c47ed03e90f,Soybean___healthy:::400
data\raw\apple\Apple___healthy\0181db4e-718e-41bc-b6ed-92863471fa85___RS_HL 5941.JPG,Apple___healthy,Healthy,.jpg,RGB,256,256,adba514eb79a9a730c70ac38af5bdc73,Soybean___healthy:::374
data\raw\apple\Apple___healthy\0199bffc-baee-499f-8e03-5dadb8b671be___RS_HL 8042.JPG,Apple___healthy,Healthy,.jpg,RGB,256,256,f20f1fe81dfff79db88446facae9f4d9,Apple___healthy:::236
data\raw\apple\Apple___healthy\01b32971-5125-4982-98e2-22daa9ae864a___RS_HL 7977.JPG,Apple___healthy,Healthy,.jpg,RGB,256,256,041972e817c4421ee56432d07c2424bf,Apple___healthy:::227
data\raw\apple\Apple___healthy\01efa999-757d-487e-8250-27c7854c0ca8___RS_HL 7515.JPG,Apple___healthy,Healthy,.jpg,RGB,256,256,334e2ac82825fb58e8382003d9d9c21b,Soybean___healthy:::506
data\raw\apple\Apple___healthy\022b515d-41fd-448e-abac-e8722c32d864___RS_HL 8131.JPG,Apple___healthy,Healthy,.jpg,RGB,256,256,e6e9c443258f7c3a949411bf9a8273f6,Apple___healthy:::247
data\raw\apple\Apple___healthy\023810b0-18e6-4352-9dfa-c2f4c034cda5___RS_HL 7538.JPG,Apple___healthy,Healthy,.jpg,RGB,256,256,d396b25b06b8c576786fa79da66c58e2,Soybean___healthy:::508
data\raw\apple\Apple___healthy\02720439-ecbd-4c7a-9382-4c8156b6f15b___RS_HL 5918.JPG,Apple___healthy,Healthy,.jpg,RGB,256,256,f4af77d9eec2f2ab5c3b585a13da4f49,Soybean___healthy:::372
data\raw\apple\Apple___healthy\02847045-4405-467c-9ccb-7ba2ab1d574c___RS_HL 5943.JPG,Apple___healthy,Healthy,.jpg,RGB,256,256,6360f46abb81d69b9aeb59973bc3e404,Soybean___healthy:::374
data\raw\apple\Apple___healthy\02a0f44c-9cbe-4a2e-9710-296692635ec6___RS_HL 5789.JPG,Apple___healthy,Healthy,.jpg,RGB,256,256,4f204ab460ffcb0e1e0fe5b7e29b23fb,Soybean___healthy:::363
data\raw\apple\Apple___healthy\02cd3257-a42f-4fbc-8056-a41d5aabfbc3___RS_HL 8029.JPG,Apple___healthy,Healthy,.jpg,RGB,256,256,86638e3bda02ce95ae366eb87d85e2d8,Apple___healthy:::234
data\raw\apple\Apple___healthy\02d0257a-d21a-43a4-9348-472043df801e___RS_HL 6065.JPG,Apple___healthy,Healthy,.jpg,RGB,256,256,65aeb3c446debdfa76aa51dfe42620d8,Soybean___healthy:::384
data\raw\apple\Apple___healthy\02fe229e-2b2e-4e1e-b56f-3af97996bee6___RS_HL 8134.JPG,Apple___healthy,Healthy,.jpg,RGB,256,256,0f16f863d6a302bb08971b3ad23c8155,Apple___healthy:::247
data\raw\apple\Apple___healthy\03109942-bfa2-4728-b375-4f02a95957de___RS_HL 8066.JPG,Apple___healthy,Healthy,.jpg,RGB,256,256,13397c4c6b80c433c9407ff20bbc786b,Apple___healthy:::239
data\raw\apple\Apple___healthy\03152113-855b-4eab-8a4f-7d78d92240d0___RS_HL 5838.JPG,Apple___healthy,Healthy,.jpg,RGB,256,256,8fa00d9c1a58aa1f8cc834557d986a5c,Soybean___healthy:::368
data\raw\apple\Apple___healthy\036e9351-118e-4795-9f80-74c369b98c88___RS_HL 7513.JPG,Apple___healthy,Healthy,.jpg,RGB,256,256,459eda2421d22d8044af4f11c5bd8847,Soybean___healthy:::506
data\raw\apple\Apple___healthy\039d297c-374b-47cd-bed1-a94ac757eb8b___RS_HL 7612.JPG,Apple___healthy,Healthy,.jpg,RGB,256,256,f4129781ebf4ce5d899f2f304b5bc7b3,Apple___healthy:::178
data\raw\apple\Apple___healthy\03aebf5c-6cca-40da-b61d-f3f83e1cbf9e___RS_HL 8080.JPG,Apple___healthy,Healthy,.jpg,RGB,256,256,cd6d8585891c0e8f5764bb591182b95b,Apple___healthy:::241
data\raw\apple\Apple___healthy\03cb0cf0-04cf-4549-a2b8-44ed75b2e56c___RS_HL 7460.JPG,Apple___healthy,Healthy,.jpg,RGB,256,256,344e50c1b8026f8d7d5d89bf8e4f811a,Soybean___healthy:::501
data\raw\apple\Apple___healthy\03d420e7-42a1-41d8-9600-16d577043c64___RS_HL 5738.JPG,Apple___healthy,Healthy,.jpg,RGB,256,256,6cb8da86a0213782d8ad81842d7d221b,Soybean___healthy:::354
data\raw\apple\Apple___healthy\03d9267c-935a-487b-a27f-fa22f935b299___RS_HL 5671.JPG,Apple___healthy,Healthy,.jpg,RGB,256,256,faa7a08b56dc72c6b83442ab0bffe2c7,Soybean___healthy:::342
data\raw\apple\Apple___healthy\03f6a4b2-d08b-4f7f-8a8e-d132ff3eca8b___RS_HL 6226.JPG,Apple___healthy,Healthy,.jpg,RGB,256,256,6933d0bf289138733e11123f1997f394,Soybean___healthy:::396
data\raw\apple\Apple___healthy\04032305-5ca9-4110-b517-461f13c95f18___RS_HL 7446.JPG,Apple___healthy,Healthy,.jpg,RGB,256,256,b2def0c2f3a0169f5305504acf35dfad,Soybean___healthy:::500
data\raw\apple\Apple___healthy\04125537-801d-4e15-b66c-224b09b4e1a7___RS_HL 7457.JPG,Apple___healthy,Healthy,.jpg,RGB,256,256,a8d0090294c6658a7e613273da1669b6,Soybean___healthy:::501
