image_path,clean_class
data\raw\apple\Apple___healthy\09994dfa-4aab-4ada-9ef2-431d050e1e38___RS_HL 5658.JPG,Healthy
data\raw\apple\Apple___healthy\14e92721-00a0-4696-9392-d3f633082454___RS_HL 5654.JPG,Healthy
data\raw\apple\Apple___healthy\19331cca-70bd-47e9-8e0e-2b3ea81f2d1c___RS_HL 5655.JPG,Healthy
data\raw\apple\Apple___healthy\1cb890ab-c267-467f-abbc-be9023cb55ff___RS_HL 5667.JPG,Healthy
data\raw\apple\Apple___healthy\270ca100-e754-4ed1-9fe8-0d3270cba958___RS_HL 5660.JPG,Healthy
data\raw\apple\Apple___healthy\39bd8139-dfe4-45ec-8bf9-d9cabbdd1ea8___RS_HL 5659.JPG,Healthy
data\raw\apple\Apple___healthy\49c357ef-7887-43d3-a478-85486e70e2d3___RS_HL 5656.JPG,Healthy
data\raw\apple\Apple___healthy\5977222a-8f4a-44b3-9960-61fcf36c5e7f___RS_HL 5664.JPG,Healthy
data\raw\apple\Apple___healthy\772e7314-c24e-4126-aa12-224b27098319___RS_HL 5663.JPG,Healthy
data\raw\apple\Apple___healthy\93d22073-347e-4447-ba19-92eccb54563e___RS_HL 5662.JPG,Healthy
data\raw\apple\Apple___healthy\b122dc1b-a929-4b77-baa9-faf01744fd88___RS_HL 5657.JPG,Healthy
data\raw\apple\Apple___healthy\cfb93659-94c6-4ff3-8104-bae70c975bde___RS_HL 5666.JPG,Healthy
data\raw\apple\Apple___healthy\d8328d5d-be0d-4de4-8f9d-6cf4b2dcc531___RS_HL 5665.JPG,Healthy
data\raw\apple\Apple___healthy\eed4b520-3e7c-4a4f-8e7a-26cd9a893a32___RS_HL 5661.JPG,Healthy
data\raw\apple\Apple___healthy\f4a37893-7443-478a-a9af-ba75e1f32767___RS_HL 5653.JPG,Healthy
data\raw\apple\Apple___Black_rot\17a083f1-5ba6-4f0c-917a-738b568f22ef___JR_FrgE.S 8612.JPG,Black Rot
data\raw\apple\Apple___Black_rot\35b68c2b-4d91-484c-ab0c-6347ba6ce974___JR_FrgE.S 8615.JPG,Black Rot
data\raw\apple\Apple___Black_rot\58da5350-ae11-490e-9c28-7b52970331f4___JR_FrgE.S 8616.JPG,Black Rot
data\raw\apple\Apple___Black_rot\64577b36-9701-43be-a559-10f787f2d185___JR_FrgE.S 8611.JPG,Black Rot
data\raw\apple\Apple___Black_rot\8c033a16-bdf6-46ee-ac3b-2d84a6940950___JR_FrgE.S 8614.JPG,Black Rot
