image_path,clean_class
data\raw\tomato\Tomato___healthy\14d46dfe-5348-428c-af6b-82b6625ce6c3___GH_HL Leaf 483.1.JPG,Tomato
data\raw\tomato\Tomato___Early_blight\55761153-0f6a-4dad-981e-16fde2ac683f___RS_Erly.B 6387.JPG,Tomato
data\raw\tomato\Tomato___healthy\b5453c78-26b4-40ef-a460-c878eb82fcea___RS_HL 9968.JPG,Tomato
data\raw\tomato\Tomato___Early_blight\8d70db5b-7916-4397-836d-6a73a2faaead___RS_Erly.B 6330.JPG,Tomato
data\raw\tomato\Tomato___Early_blight\2a5367b1-6732-4213-b095-5953251324ee___RS_Erly.B 7585.JPG,Tomato
data\raw\tomato\Tomato___healthy\83a8e340-30f9-4e2f-b825-a1078d5c63cf___RS_HL 0033.JPG,Tomato
data\raw\tomato\Tomato___Late_blight\2aec9930-0331-4e04-8bc0-5c00f373fbf3___GHLB2 Leaf 8993.JPG,Tomato
data\raw\tomato\Tomato___Late_blight\2a295211-a73b-4460-95c5-81842743518f___RS_Late.B 5116.JPG,Tomato
data\raw\tomato\Tomato___Late_blight\9191536b-0dd5-4c85-935a-37fdab6e4fab___RS_Late.B 6042.JPG,Tomato
data\raw\tomato\Tomato___Late_blight\41f6fe04-5205-4a08-a2a1-961080b5edef___GHLB2 Leaf 8703.JPG,Tomato
data\raw\tomato\Tomato___Late_blight\8f268f79-0230-4dfb-a7e9-e68bb506798e___GHLB2 Leaf 8739.JPG,Tomato
data\raw\tomato\Tomato___Early_blight\70de9ac6-f90f-441f-a51f-217f55213234___RS_Erly.B 9568.JPG,Tomato
data\raw\tomato\Tomato___healthy\846276ae-4ccd-45ba-9a46-f913d04a9456___RS_HL 0012.JPG,Tomato
data\raw\tomato\Tomato___Early_blight\ee7a6de8-1aca-4a55-8c12-69be6277c1c1___RS_Erly.B 9591.JPG,Tomato
data\raw\tomato\Tomato___Early_blight\6b52f204-547d-47aa-926c-b9508a5e6cbc___RS_Erly.B 7434.JPG,Tomato
data\raw\tomato\Tomato___healthy\6c125a79-9b14-4a91-8f03-342910c7fe57___GH_HL Leaf 433.JPG,Tomato
data\raw\tomato\Tomato___Late_blight\c4e17a14-ebac-4e2b-b00f-8b6b5e267b42___RS_Late.B 5097.JPG,Tomato
data\raw\tomato\Tomato___Late_blight\117a7f38-eaa6-4f88-b892-33e2a66d77d5___RS_Late.B 5129.JPG,Tomato
data\raw\tomato\Tomato___healthy\5ac6005e-d9b6-4847-bd28-e43038e02450___RS_HL 0489.JPG,Tomato
data\raw\tomato\Tomato___healthy\6550c4ca-9494-4de5-8909-d0cdab8f0892___RS_HL 0401.JPG,Tomato
data\raw\tomato\Tomato___Late_blight\27ffa018-265a-4ae7-9c3d-66586f28f342___GHLB2 Leaf 9044.JPG,Tomato
data\raw\tomato\Tomato___healthy\c58defb7-5515-4b89-896f-13039c13051f___GH_HL Leaf 372.1.JPG,Tomato
data\raw\tomato\Tomato___Early_blight\f547a0f4-912a-45ec-81aa-371ad12ecacf___RS_Erly.B 7608.JPG,Tomato
data\raw\tomato\Tomato___Late_blight\e9ef618a-46ef-4e2d-a76e-a2423336b29b___GHLB_PS Leaf 43 Day 18.jpg,Tomato
data\raw\tomato\Tomato___Early_blight\a725f34d-c57c-4189-9ec8-6aeec7fb6a78___RS_Erly.B 6452.JPG,Tomato
data\raw\tomato\Tomato___Early_blight\150cfe75-133e-4e98-90cb-de96a8120c03___RS_Erly.B 9414.JPG,Tomato
data\raw\tomato\Tomato___healthy\89787310-40fb-4d46-9b4b-5f8426e26ccf___GH_HL Leaf 442.1.JPG,Tomato
data\raw\tomato\Tomato___Early_blight\e219e45e-3a8e-46dc-9621-9914f42bf3af___RS_Erly.B 7838.JPG,Tomato
data\raw\tomato\Tomato___Early_blight\9407ce87-44ce-4c7f-89ae-1e497b44ae30___RS_Erly.B 9381.JPG,Tomato
data\raw\tomato\Tomato___Early_blight\3726eff6-547d-411e-bc00-f8b533d067e3___RS_Erly.B 6494.JPG,Tomato
data\raw\tomato\Tomato___healthy\37203047-d8ba-43f7-b31e-d496c41c569c___GH_HL Leaf 389.JPG,Tomato
data\raw\tomato\Tomato___healthy\8140c767-937d-450c-8070-2936aeb73834___GH_HL Leaf 439.1.JPG,Tomato
data\raw\tomato\Tomato___Late_blight\f2c089b3-34a5-4300-848f-a0d6eebcb756___RS_Late.B 5174.JPG,Tomato
data\raw\tomato\Tomato___healthy\38670ac4-67ad-4b00-a37b-3fb82d58aa86___RS_HL 9762.JPG,Tomato
data\raw\tomato\Tomato___Late_blight\f14bdea6-8f1d-47c4-ab6f-dbf05c994901___GHLB2 Leaf 9046.JPG,Tomato
data\raw\tomato\Tomato___Late_blight\280cae12-7330-4202-b5cb-236fc869907c___GHLB2 Leaf 8821.JPG,Tomato
data\raw\tomato\Tomato___healthy\5876e77a-8598-418c-bae2-b7492c8e46bd___RS_HL 9859.JPG,Tomato
data\raw\tomato\Tomato___Late_blight\0545d961-8c4c-43ee-9574-e05d7682a99f___GHLB2 Leaf 8631.JPG,Tomato
data\raw\tomato\Tomato___healthy\02d94768-da6d-4c1a-b8b3-fa2e5a2fcd4d___RS_HL 0449.JPG,Tomato
data\raw\tomato\Tomato___healthy\d21a242e-a9a3-4c5e-8e65-6416f84bcaec___GH_HL Leaf 510.2.JPG,Tomato
data\raw\tomato\Tomato___Late_blight\a4008f85-d333-4ca8-87c2-e8c9c68ed19a___RS_Late.B 6461.JPG,Tomato
data\raw\tomato\Tomato___Early_blight\7b962f23-1e0e-4c28-b741-d21c51ab6d4b___RS_Erly.B 7835.JPG,Tomato
data\raw\tomato\Tomato___healthy\d19a7818-769b-4633-bd09-5c3c20d2b4d1___GH_HL Leaf 172.JPG,Tomato
data\raw\tomato\Tomato___Early_blight\b7ca5e36-608f-4441-9549-88b011e7088a___RS_Erly.B 7753.JPG,Tomato
data\raw\tomato\Tomato___healthy\45fc3f1c-6ccc-4ffd-a0a9-f53cbe4e71a1___GH_HL Leaf 206.1.JPG,Tomato
data\raw\tomato\Tomato___Late_blight\464d50a2-adf7-4a8d-b2e0-4fcb01b02fe6___RS_Late.B 5030.JPG,Tomato
data\raw\tomato\Tomato___healthy\e6f3e3b6-8d73-4564-9e0b-771302aaa6ef___RS_HL 0626.JPG,Tomato
data\raw\tomato\Tomato___Late_blight\c1d826c3-84d2-4f96-9eb5-4eaf983c43be___GHLB2 Leaf 8766.JPG,Tomato
data\raw\tomato\Tomato___healthy\d764f501-de57-47f4-a648-c5ece8ec59b2___RS_HL 0409.JPG,Tomato
data\raw\tomato\Tomato___healthy\e1860bf2-2656-4dba-b9de-f80932bca552___RS_HL 0398.JPG,Tomato
data\raw\tomato\Tomato___healthy\b3e76dfe-eeb0-4edf-a93c-bb7964ff57eb___GH_HL Leaf 210.4.JPG,Tomato
data\raw\tomato\Tomato___Late_blight\53dfd9b5-4486-48c6-96c7-08cf93e0aff2___GHLB2 Leaf 9022.JPG,Tomato
data\raw\tomato\Tomato___Late_blight\4648b0c8-1c09-4cb9-b0dc-67515432d802___GHLB2ES Leaf 69.3.JPG,Tomato
data\raw\tomato\Tomato___Late_blight\943a9a43-f61d-44f5-88c0-455d5d6c4746___GHLB Leaf 14 Day 7.JPG,Tomato
data\raw\tomato\Tomato___Early_blight\80c3b18f-a436-47f7-9153-2a24197f6b69___RS_Erly.B 9593.JPG,Tomato
data\raw\tomato\Tomato___Early_blight\38685009-d6e6-4b3a-9957-bf049a210cda___RS_Erly.B 7606.JPG,Tomato
data\raw\tomato\Tomato___Late_blight\df95ecc8-c074-4d29-8571-0fae8d2a620a___RS_Late.B 7191.JPG,Tomato
data\raw\tomato\Tomato___Early_blight\1de17623-e625-4a3a-91e8-64973e6d09fd___RS_Erly.B 9577.JPG,Tomato
data\raw\tomato\Tomato___Early_blight\70ef2f0f-3070-443d-b94f-983b87b41791___RS_Erly.B 9385.JPG,Tomato
data\raw\tomato\Tomato___healthy\8e4af6b9-0f8a-48ad-ade6-4e1fff6d4bbf___RS_HL 0606.JPG,Tomato
data\raw\tomato\Tomato___healthy\190a6af7-d7b1-4265-b05b-c126a7962c93___GH_HL Leaf 408.JPG,Tomato
data\raw\tomato\Tomato___healthy\d75ed8c7-610e-4abd-8a3a-a08993a92df3___GH_HL Leaf 323.2.JPG,Tomato
data\raw\tomato\Tomato___Late_blight\f972ee8f-5f07-49a0-974c-b919b0ad5b0b___RS_Late.B 4961.JPG,Tomato
data\raw\tomato\Tomato___Early_blight\dc4e5770-ed70-4ff3-b61d-a6296faae7e1___RS_Erly.B 7568.JPG,Tomato
data\raw\tomato\Tomato___healthy\125ff07a-87f1-4953-9ded-8f9e5adb7b1b___RS_HL 0470.JPG,Tomato
data\raw\tomato\Tomato___healthy\b89c8996-9a04-45fe-a517-97e23227881c___GH_HL Leaf 430.JPG,Tomato
data\raw\tomato\Tomato___healthy\d45c5eb7-c7b7-430b-9b2c-917a4a34315e___RS_HL 0151.JPG,Tomato
data\raw\tomato\Tomato___healthy\3be50742-0fe9-404a-809e-9597793748a8___GH_HL Leaf 191.JPG,Tomato
data\raw\tomato\Tomato___Late_blight\1905cdb8-1725-4386-9d49-59f47c3e4a1b___GHLB2ES Leaf 65.JPG,Tomato
data\raw\tomato\Tomato___healthy\579cec1c-8304-4b8c-84bb-be54a7e8c93f___GH_HL Leaf 367.JPG,Tomato
data\raw\tomato\Tomato___healthy\84c43d92-9e49-4ce6-b094-5df767b2b0df___RS_HL 0365.JPG,Tomato
data\raw\tomato\Tomato___Early_blight\4a352896-5a0f-4e42-aba1-f06045d5b531___RS_Erly.B 7765.JPG,Tomato
data\raw\tomato\Tomato___Late_blight\4e634785-ec5c-43b9-a352-9c9deb88b117___RS_Late.B 7095.JPG,Tomato
data\raw\tomato\Tomato___Early_blight\0114f7b3-7f56-4bef-aa47-7a82da142d4b___RS_Erly.B 7437.JPG,Tomato
data\raw\tomato\Tomato___Late_blight\08a94695-4566-49aa-84df-91980c3534a2___RS_Late.B 5396.JPG,Tomato
data\raw\tomato\Tomato___Late_blight\ea16e464-19b9-47aa-a1a6-3c33c0cfd609___GHLB2 Leaf 153.JPG,Tomato
data\raw\tomato\Tomato___healthy\679fc520-5ef8-499f-9d88-a963325bee3f___RS_HL 0571.JPG,Tomato
data\raw\tomato\Tomato___Late_blight\7d8cbbfc-89e2-4fe5-9624-89b353d78832___RS_Late.B 5176.JPG,Tomato
data\raw\tomato\Tomato___healthy\338994aa-89ca-4fa5-80ea-9efc94093280___RS_HL 0194.JPG,Tomato
data\raw\tomato\Tomato___Early_blight\6c124f22-619b-44fc-a3d1-231286d4bfda___RS_Erly.B 6403.JPG,Tomato
data\raw\tomato\Tomato___Early_blight\ba19f779-d0cf-4bc7-88df-96e6080fdc96___RS_Erly.B 7599.JPG,Tomato
data\raw\tomato\Tomato___Late_blight\116c7fc2-8443-40b7-a8c0-9619e3e46f08___GHLB2 Leaf 8797.JPG,Tomato
data\raw\tomato\Tomato___Late_blight\fcfe91fc-c578-4c6d-8fe4-b8ff4cfdb766___GHLB2 Leaf 75.1.JPG,Tomato
data\raw\tomato\Tomato___Early_blight\e330dc16-fdf9-4eee-8b09-88bfb5537180___RS_Erly.B 7601.JPG,Tomato
data\raw\tomato\Tomato___Late_blight\d491156d-bcb8-47b9-b6b9-3f1d2dc1777f___GHLB2 Leaf 8779.JPG,Tomato
data\raw\tomato\Tomato___Late_blight\6e594cdd-0b3f-41d2-b056-f03819790e8c___RS_Late.B 5348.JPG,Tomato
data\raw\tomato\Tomato___Late_blight\3d9cca85-96cf-4186-b863-933bbbbc8075___GHLB2 Leaf 117.4.JPG,Tomato
data\raw\tomato\Tomato___Early_blight\803ac166-670f-4cad-9f37-e36eea3118d9___RS_Erly.B 9457.JPG,Tomato
data\raw\tomato\Tomato___Late_blight\563dc24f-a75e-4bde-8667-135ba74541e6___RS_Late.B 5319.JPG,Tomato
data\raw\tomato\Tomato___Late_blight\1cb5d336-3649-49bf-aa9a-72950067b8b0___GHLB_PS Leaf 12 Day 9.jpg,Tomato
data\raw\tomato\Tomato___Early_blight\f79134d0-8c6a-43ad-ba78-9323f9a9f84f___RS_Erly.B 9427.JPG,Tomato
data\raw\tomato\Tomato___Late_blight\6edd59f3-d87c-4583-a931-0f32a2748a79___RS_Late.B 4922.JPG,Tomato
data\raw\tomato\Tomato___Late_blight\40076fd7-8c21-41a4-9bc9-3c1c53e1a865___RS_Late.B 5594.JPG,Tomato
data\raw\tomato\Tomato___Early_blight\eaf0d111-089a-4808-a34c-dd40e3bb4db4___RS_Erly.B 8393.JPG,Tomato
data\raw\tomato\Tomato___Early_blight\f882f8cc-49bc-49f6-a6c0-fbffe60d81a0___RS_Erly.B 7672.JPG,Tomato
data\raw\tomato\Tomato___healthy\285e95b9-fe77-43a7-85ab-5ef37ae162f8___RS_HL 0047.JPG,Tomato
data\raw\tomato\Tomato___Late_blight\dbedc9c1-d7f8-4eef-b4bf-d36689c57c60___GHLB Leaf 27 Day 12.JPG,Tomato
data\raw\tomato\Tomato___healthy\80ad21d3-4571-49bd-a96e-2f75e9a9b673___RS_HL 9729.JPG,Tomato
data\raw\tomato\Tomato___healthy\b1f50b66-747a-4394-ae03-1d5c201c1bb8___RS_HL 9664.JPG,Tomato
data\raw\tomato\Tomato___Early_blight\c2369b01-d04f-443c-b6ab-9e62e1480420___RS_Erly.B 8397.JPG,Tomato
data\raw\tomato\Tomato___healthy\ab203172-45d2-492f-94e0-6d15a1d34209___RS_HL 9831.JPG,Tomato
