image_path,clean_class
data\raw\potato\Potato___Late_blight\68882ae5-79b6-4681-9e06-af8ae5999779___RS_LB 3952.JPG,Late Blight
data\raw\potato\Potato___Late_blight\94ebce3c-2945-44a4-aa81-1abe8e4beea2___RS_LB 3953.JPG,Late Blight
data\raw\potato\Potato___Late_blight\d42061d8-9da0-4190-8dd0-d3629f0cfa53___RS_LB 3954.JPG,Late Blight
data\raw\potato\Potato___Late_blight\e0c879c8-ebf3-43d0-9693-7a747fb5ba75___RS_LB 3956.JPG,Late Blight
data\raw\potato\Potato___Late_blight\55fa97d3-71b6-4487-9757-f9195f97ba5a___RS_LB 4047.JPG,Late Blight
data\raw\potato\Potato___Late_blight\5c1c57f6-6aff-4bba-892e-43ff02311c3f___RS_LB 4046.JPG,Late Blight
data\raw\potato\Potato___Late_blight\9fa8f0a5-50ba-41d9-8132-077a807fcf86___RS_LB 4045.JPG,Late Blight
data\raw\potato\Potato___Late_blight\f5cf6151-96d1-49bb-af1b-fa6026d749e8___RS_LB 4048.JPG,Late Blight
data\raw\potato\Potato___Early_blight\32c3bd85-3b12-4051-9185-12d39caaf94f___RS_Early.B 6684.JPG,Early Blight
data\raw\potato\Potato___Early_blight\510146c8-7368-4acc-847d-523f55b3d424___RS_Early.B 6678.JPG,Early Blight
data\raw\potato\Potato___Early_blight\7248171d-98a5-4bf0-9a8d-5c5a8820eba9___RS_Early.B 6680.JPG,Early Blight
data\raw\potato\Potato___Early_blight\7dc2fac8-c581-4b69-9f54-dbe7d838956c___RS_Early.B 6677.JPG,Early Blight
data\raw\potato\Potato___Early_blight\232c8d25-3bfe-41ea-b24f-2b3629a0253a___RS_Early.B 9200.JPG,Early Blight
data\raw\potato\Potato___Early_blight\450b4a32-39ae-4daa-aeb6-87559afb0b42___RS_Early.B 9202.JPG,Early Blight
data\raw\potato\Potato___Early_blight\4849de96-2e26-4c8d-8944-bd9e8edee5d8___RS_Early.B 9196.JPG,Early Blight
data\raw\potato\Potato___Early_blight\e6693b54-623a-4323-aa79-3e0fc3c07288___RS_Early.B 9198.JPG,Early Blight
data\raw\potato\Potato___Early_blight\8ee79bf1-78d0-4c93-b42c-301d54e64f41___RS_Early.B 8388.JPG,Early Blight
data\raw\potato\Potato___Early_blight\c4b16bb7-f358-4010-a04c-10206bad02e9___RS_Early.B 8391.JPG,Early Blight
